	PlaceTest	DateTest	Rate	TextRate	HourTest	Sex	MaritalStatus	Education	Hometown	Neighborhood	Approved	AllRate	HasTextRate	Month	Year
0	21	2017-01-13	7.45	2.2	1	1	1	3	fortaleza	Asa Sul	1	9.65	1	1	2017
1	21	2017-10-01	7.4	2.4	1	1	1	4	Recife	Norte (Águas Claras)	1	9.8	1	10	2017
2	21	2017-07-01	7.3	1.8	1	1	1	8	BRASILIA	Setor Sudoeste	1	9.1	1	7	2017
3	21	2017-02-01	7.2	1.7	2	1	4	3	Brasília	Setor Norte	1	8.9	1	2	2017
4	21	2017-09-01	6.95	1.7	1	2	4	8	BRASÍLIA	Guará I	1	8.65	1	9	2017
5	21	2017-10-01	6.9	2.4	1	2	4	3	ANÁPOLIS	Jardim Europa	1	9.3	1	10	2017
6	21	2017-10-01	6.9	1.9	1	1	4	3	ALEXÂNIA	SETOR NORTE	1	8.8	1	10	2017
7	21	2017-10-01	6.75	1.5	1	2	4	8	ENTRE RIOS DE MINAS	Sul (Águas Claras)	1	8.25	1	10	2017
8	21	2017-01-14	6.45	2.2	1	1	4	8	Brasilia	Riacho Fundo II	1	8.65	1	1	2017
9	21	2017-05-01	6.45	1.7	1	1	4	3	BRASÍLIA	Centro	1	8.15	1	5	2017
10	21	2017-02-01	6.4	1.9	2	2	4	3	Panamá	Setor Norte	1	8.3	1	2	2017
11	21	2017-09-01	6.3	1.8	1	1	1	8	ANÁPOLIS	Antônio Fernandes	1	8.1	1	9	2017
12	21	2017-08-01	6.25	2.0	2	2	4	3	Tucumã	NOVA COLINA	1	8.25	1	8	2017
13	21	2017-12-01	6.2	1.7	2	1	4	9	Brasilia	Sobradinho	1	7.9	1	12	2017
14	21	2017-05-01	6.15	2.4	1	1	4	8	Cristalina	Taguatinga Norte (Taguatinga)	1	8.55	1	5	2017
15	21	2017-09-01	6.05	2.3	1	1	4	8	Viçosa	Região dos Lagos (Sobradinho)	1	8.35	1	9	2017
